x, phil, phir
0.469672,0.0268729,0
0.471243,0.0265755,0
0.472814,0.0262762,0
0.474384,0.0259752,0
0.475955,0.0256723,0
0.477526,0.0253676,0
0.479097,0.0250611,0
0.480668,0.0247528,0
0.482238,0.0244429,0
0.483809,0.0241312,0
0.48538,0.0238178,0
0.486951,0.0235028,0
0.488521,0.0231861,0
0.490092,0.0228678,0
0.491663,0.0225478,0
0.493234,0.0222263,0
0.494805,0.0219033,0
0.496375,0.0215787,0
0.497946,0.0212527,0
0.499517,0.0209251,0
0.501088,0.0205961,0
0.502658,0.0202656,0
0.504229,0.0199337,0
0.5058,0.0196005,0
0.507371,0.0192658,0
0.508942,0.0189298,0
0.510512,0.0185926,0
0.512083,0.018254,0
0.513654,0.0179141,0
0.515225,0.017573,0
0.516795,0.0172307,0
0.518366,0.0168871,0
0.519937,0.0165424,0
0.521508,0.0161966,0
0.523079,0.0158496,0
0.524649,0.0155015,0
0.52622,0.0151524,0
0.527791,0.0148022,0
0.529362,0.014451,0
0.530932,0.0140987,0
0.532503,0.0137455,0
0.534074,0.0133914,0
0.535645,0.0130363,0
0.537216,0.0126803,0
0.538786,0.0123234,0
0.540357,0.0119657,0
0.541928,0.0116072,0
0.543499,0.0112478,0
0.545069,0.0108877,0
0.54664,0.0105268,0
0.548211,0.0101652,0
0.549782,0.00980294,0
0.551352,0.00943997,0
0.552923,0.00907634,0
0.554494,0.00871209,0
0.556065,0.00834724,0
0.557636,0.00798181,0
0.559206,0.00761583,0
0.560777,0.00724934,0
0.562348,0.00688234,0
0.563919,0.00651487,0
0.565489,0.00614695,0
0.56706,0.00577861,0
0.568631,0.00540988,0
0.570202,0.00504077,0
0.571773,0.00467132,0
0.573343,0.00430155,0
0.574914,0.00393149,0
0.576485,0.00356115,0
0.578056,0.00319057,0
0.579626,0.00281978,0
0.581197,0.00244879,0
0.582768,0.00207763,0
0.584339,0.00170633,0
0.58591,0.00133492,0
0.58748,0.000963415,0
0.589051,0.000591844,0
0.590622,0.000220233,0
0.592193,-0.000151393,0
0.593763,-0.000523009,0
0.595334,-0.00089459,0
0.596905,-0.00126611,0
0.598476,-0.00163754,0
0.600047,-0.00200887,0
0.601617,-0.00238005,0
0.603188,-0.00275108,0
0.604759,-0.00312191,0
0.60633,-0.00349254,0
0.6079,-0.00386293,0
0.609471,-0.00423306,0
0.611042,-0.0046029,0
0.612613,-0.00497243,0
0.614184,-0.00534163,0
0.615754,-0.00571046,0
0.617325,-0.00607891,0
0.618896,-0.00644695,0
0.620467,-0.00681456,0
0.622037,-0.00718171,0
0.623608,-0.00754837,0
0.625179,-0.00791452,0
0.62675,-0.00828015,0
0.628321,-0.00864521,0
0.629891,-0.0090097,0
0.631462,-0.00937358,0
0.633033,-0.00973683,0
0.634604,-0.0100994,0
0.636174,-0.0104614,0
0.637745,-0.0108226,0
0.639316,-0.0111831,0
0.640887,-0.0115428,0
0.642458,-0.0119018,0
0.644028,-0.01226,0
0.645599,-0.0126174,0
0.64717,-0.0129739,0
0.648741,-0.0133296,0
0.650311,-0.0136843,0
0.651882,-0.0140382,0
0.653453,-0.0143911,0
0.655024,-0.0147431,0
