E, G
0.328,-0.0510949
0.3285,-0.0510949
0.329,-0.0510948
0.3295,-0.0510948
0.33,-0.0510948
0.3305,-0.0510948
0.331,-0.0510948
0.3315,-0.0510948
0.332,-0.0510948
0.3325,-0.0510948
0.333,-0.0510948
0.3335,-0.0510948
0.334,-0.0510948
0.3345,-0.0510948
0.335,-0.0510948
0.3355,-0.0510947
0.336,-0.0510947
0.3365,-0.0510947
0.337,-0.0510947
0.3375,-0.0510947
0.338,-0.0510947
0.3385,-0.0510947
0.339,-0.0510947
0.3395,-0.0510947
0.34,-0.0510947
0.3405,-0.0510947
0.341,-0.0510947
0.3415,-0.0510947
0.342,-0.0510947
0.3425,-0.0510946
0.343,-0.0510946
0.3435,-0.0510946
0.344,-0.0510946
0.3445,-0.0510946
0.345,-0.0510946
0.3455,-0.0510946
0.346,-0.0510946
0.3465,-0.0510946
0.347,-0.0510946
0.3475,-0.0510946
0.348,-0.0510946
0.3485,-0.0510946
0.349,-0.0510945
0.3495,-0.0510945
0.35,-0.0510945
0.3505,-0.0510945
0.351,-0.0510945
0.3515,-0.0510945
0.352,-0.0510945
0.3525,-0.0510945
0.353,-0.0510945
0.3535,-0.0510945
0.354,-0.0510945
0.3545,-0.0510945
0.355,-0.0510945
0.3555,-0.0510945
0.356,-0.0510944
0.3565,-0.0510944
0.357,-0.0510944
0.3575,-0.0510944
0.358,-0.0510944
0.3585,-0.0510944
0.359,-0.0510944
0.3595,-0.0510944
0.36,-0.0510944
0.3605,-0.0510944
0.361,-0.0510944
0.3615,-0.0510944
0.362,-0.0510944
0.3625,-0.0510943
0.363,-0.0510943
0.3635,-0.0510943
0.364,-0.0510943
0.3645,-0.0510943
0.365,-0.0510943
0.3655,-0.0510943
0.366,-0.0510943
0.3665,-0.0510943
0.367,-0.0510943
0.3675,-0.0510943
0.368,-0.0510943
0.3685,-0.0510943
0.369,-0.0510943
0.3695,-0.0510942
0.37,-0.0510942
0.3705,-0.0510942
0.371,-0.0510942
0.3715,-0.0510942
0.372,-0.0510942
0.3725,-0.0510942
0.373,-0.0510942
0.3735,-0.0510942
0.374,-0.0510942
0.3745,-0.0510942
0.375,-0.0510942
0.3755,-0.0510942
0.376,-0.0510942
0.3765,-0.0510941
0.377,-0.0510941
0.3775,-0.0510941
0.378,-0.0510941
0.3785,-0.0510941
0.379,-0.0510941
0.3795,-0.0510941
0.38,-0.0510941
0.3805,-0.0510941
0.381,-0.0510941
0.3815,-0.0510941
0.382,-0.0510941
0.3825,-0.0510941
0.383,-0.051094
0.3835,-0.051094
0.384,-0.051094
0.3845,-0.051094
0.385,-0.051094
0.3855,-0.051094
0.386,-0.051094
0.3865,-0.051094
0.387,-0.051094
0.3875,-0.051094
0.388,-0.051094
0.3885,-0.051094
0.389,-0.051094
0.3895,-0.051094
0.39,-0.0510939
0.3905,-0.0510939
0.391,-0.0510939
0.3915,-0.0510939
0.392,-0.0510939
0.3925,-0.0510939
0.393,-0.0510939
0.3935,-0.0510939
0.394,-0.0510939
0.3945,-0.0510939
0.395,-0.0510939
0.3955,-0.0510939
0.396,-0.0510939
0.3965,-0.0510938
0.397,-0.0510938
0.3975,-0.0510938
0.398,-0.0510938
